WenSL5_1.bin 
         5.00
11
7
Type of measurement (0=app. resistivity,1=resistance)
0
288
 2
0
4  50.00  0.00 125.00  0.00 85.00  0.00 90.00  0.00 131643.58 
4  50.00  0.00 115.00  0.00 80.00  0.00 85.00  0.00 267951.03 
4  50.00  0.00 105.00  0.00 75.00  0.00 80.00  0.00 733122.31 
4  50.00  0.00 95.00  0.00 70.00  0.00 75.00  0.00 119430.77 
4  50.00  0.00 85.00  0.00 65.00  0.00 70.00  0.00 534416.31 
4  50.00  0.00 75.00  0.00 60.00  0.00 65.00  0.00 402136.47 
4  50.00  0.00 65.00  0.00 55.00  0.00 60.00  0.00 64607.77 
4  55.00  0.00 170.00  0.00 110.00  0.00 115.00  0.00 340257.12 
4  55.00  0.00 160.00  0.00 105.00  0.00 110.00  0.00 231979.69 
4  55.00  0.00 150.00  0.00 100.00  0.00 105.00  0.00 257902.19 
4  55.00  0.00 140.00  0.00 95.00  0.00 100.00  0.00 175979.47 
4  55.00  0.00 130.00  0.00 90.00  0.00 95.00  0.00 62454.86 
4  55.00  0.00 120.00  0.00 85.00  0.00 90.00  0.00 108196.41 
4  55.00  0.00 110.00  0.00 80.00  0.00 85.00  0.00 220997.66 
4  55.00  0.00 100.00  0.00 75.00  0.00 80.00  0.00 627522.50 
4  55.00  0.00 90.00  0.00 70.00  0.00 75.00  0.00 85828.30 
4  55.00  0.00 80.00  0.00 65.00  0.00 70.00  0.00 280808.81 
4  55.00  0.00 70.00  0.00 60.00  0.00 65.00  0.00 295843.78 
4  60.00  0.00 175.00  0.00 115.00  0.00 120.00  0.00 173688.72 
4  60.00  0.00 165.00  0.00 110.00  0.00 115.00  0.00 295466.75 
4  60.00  0.00 155.00  0.00 105.00  0.00 110.00  0.00 206308.31 
4  60.00  0.00 145.00  0.00 100.00  0.00 105.00  0.00 254846.02 
4  60.00  0.00 135.00  0.00 95.00  0.00 100.00  0.00 165102.78 
4  60.00  0.00 125.00  0.00 90.00  0.00 95.00  0.00 61421.26 
4  60.00  0.00 115.00  0.00 85.00  0.00 90.00  0.00 93189.94 
4  60.00  0.00 105.00  0.00 80.00  0.00 85.00  0.00 181709.67 
4  60.00  0.00 95.00  0.00 75.00  0.00 80.00  0.00 402168.69 
4  60.00  0.00 85.00  0.00 70.00  0.00 75.00  0.00 54864.00 
4  60.00  0.00 75.00  0.00 65.00  0.00 70.00  0.00 365090.75 
4  65.00  0.00 170.00  0.00 115.00  0.00 120.00  0.00 164148.22 
4  65.00  0.00 160.00  0.00 110.00  0.00 115.00  0.00 281821.22 
4  65.00  0.00 150.00  0.00 105.00  0.00 110.00  0.00 199202.11 
4  65.00  0.00 140.00  0.00 100.00  0.00 105.00  0.00 262316.50 
4  65.00  0.00 130.00  0.00 95.00  0.00 100.00  0.00 156650.23 
4  65.00  0.00 120.00  0.00 90.00  0.00 95.00  0.00 59044.98 
4  65.00  0.00 110.00  0.00 85.00  0.00 90.00  0.00 82447.16 
4  65.00  0.00 100.00  0.00 80.00  0.00 85.00  0.00 153418.23 
4  65.00  0.00 90.00  0.00 75.00  0.00 80.00  0.00 265276.12 
4  65.00  0.00 80.00  0.00 70.00  0.00 75.00  0.00 32927.82 
4  70.00  0.00 175.00  0.00 120.00  0.00 125.00  0.00 156616.00 
4  70.00  0.00 165.00  0.00 115.00  0.00 120.00  0.00 182981.98 
4  70.00  0.00 155.00  0.00 110.00  0.00 115.00  0.00 271268.09 
4  70.00  0.00 145.00  0.00 105.00  0.00 110.00  0.00 219178.47 
4  70.00  0.00 135.00  0.00 100.00  0.00 105.00  0.00 277088.38 
4  70.00  0.00 125.00  0.00 95.00  0.00 100.00  0.00 166176.05 
4  70.00  0.00 115.00  0.00 90.00  0.00 95.00  0.00 58474.59 
4  70.00  0.00 105.00  0.00 85.00  0.00 90.00  0.00 93901.34 
